"authid","discipline","collaborator","collaborate_paper_n","n_paper","authname","firstname"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
25649837500,"HSS",2,5,5,"Borah P.","Borah"
26632759000,"HSS",2,27,27,"Gil de Zúñiga H.","Gil"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
56681031600,"HSS",2,2,2,"Artero J.P.","Artero"
57205268142,"HSS",2,2,2,"Zapata L.","Zapata"
24171057300,"HSS",2,33,33,"Grané A.","Grané"
6506800420,"HSS",2,16,16,"Albarrán I.","Albarrán"
57221729811,"HSS",2,4,4,"Guo Q.","Guo"
56724217500,"HSS",1,24,24,"Labayen M.F.","Labayen"
57221330856,"HSS",1,3,3,"Gutierrez I.","Gutierrez"
56040843000,"HSS",2,13,13,"Pérez-Serrano M.J.","Pérez-Serrano"
55817086700,"HSS",2,22,22,"Santamaría J.V.G.","Santamaría"
57216591770,"HSS",2,5,5,"Pallares M.R.","Pallares"
57189726231,"HSS",0,9,11,"Illán J.C.S.","Illán"
57207792108,"HSS",1,6,6,"Codina-Canet M.A.","Codina-Canet"
6506184783,"HSS",1,12,12,"Segundo R.S.","Segundo"
35303400800,"HSS",2,46,46,"Segura-Bedmar I.","Segura-Bedmar"
57222959740,"HSS",2,3,3,"Ruz L.","Ruz"
36677301900,"HSS",2,12,12,"Guerrero-Aspizua S.","Guerrero-Aspizua"
37096880000,"HSS",2,16,16,"García-Olaya A.","García-Olaya"
36889343800,"HSS",2,12,12,"de la Rosa T.","de"
6603908284,"HSS",2,28,28,"Borrajo D.","Borrajo"
57194458129,"HSS",1,10,11,"Cob A.A.","Cob"
55579370700,"HSS",1,5,7,"Serrano N.L.","Serrano"
57212106601,"HSS",0,4,8,"López-Gómez J.C.","López-Gómez"
57216531931,"HSS",1,3,3,"González M.Á.B.","González"
57385496900,"HSS",1,2,2,"Miguel F.P.","Miguel"
24068319400,"HSS",1,13,13,"García-Quismondo M.Á.M.","García-Quismondo"
36523674900,"HSS",1,3,4,"Valero P.P.","Valero"
26867715100,"HSS",1,4,4,"Gomes P.","Gomes"
7202902622,"HSS",1,5,5,"Machado M.","Machado"
55880436400,"HSS",1,32,32,"Martínez-Cardama S.","Martínez-Cardama"
36711755000,"HSS",1,17,17,"García-López F.","García-López"
57212106601,"HSS",0,4,8,"López-Gómez J.C.","López-Gómez"
35573395700,"HSS",0,3,5,"Gasparini V.","Gasparini"
57188726148,"HSS",1,4,6,"Ezquerra J.A.","Ezquerra"
57202333881,"HSS",1,3,3,"Murcia B.P.","Murcia"
36609210700,"HSS",0,5,11,"Santiago-Caballero C.","Santiago-Caballero"
16432831800,"HSS",1,23,25,"Catalan-Matamoros D.","Catalan-Matamoros"
56033820000,"HSS",1,6,6,"Peñafiel-Saiz C.","Peñafiel-Saiz"
57192272859,"HSS",0,12,17,"Fernández-Castrillo C.","Fernández-Castrillo"
57212106601,"HSS",1,4,8,"López-Gómez J.C.","López-Gómez"
57188726148,"HSS",1,4,6,"Alvar J.","Alvar"
55313679300,"HSS",1,5,5,"Navarro-Bonilla D.","Navarro-Bonilla"
55775368000,"HSS",1,7,10,"Robledano-Arillo J.","Robledano-Arillo"
57218577971,"HSS",1,11,15,"Barranquero A.","Barranquero"
56973735800,"HSS",1,4,4,"Angel A.","Angel"
9844561800,"HSS",3,43,48,"Pacios A.R.","Pacios"
